年月日,最高気温(℃),最低気温(℃),平均気温(℃),平均雲量(10分比),天気概況(昼：06時～18時),晴 or 雨
2017/1/1,14.4,0,6.9,0,快晴,1
2017/1/2,13.3,0.8,5.9,3.3,曇後晴,1
2017/1/3,13.3,0.4,7,0.7,晴,1
2017/1/4,14.4,-1,6,0.7,快晴,1
2017/1/5,9.3,2.6,5.4,2,晴,1
2017/1/6,10.3,-0.5,4,6,晴時々薄曇,1
2017/1/7,9.4,-3.3,2.8,2,晴,1
2017/1/8,6.6,-1.7,2.4,10,曇後時々雨,0
2017/1/9,13.5,2.4,7.5,4.7,雨後晴,0
2017/1/10,13.1,5.1,8.1,0,快晴,1
2017/1/11,11.4,0.9,5.6,1,晴,1
2017/1/12,12,-2.2,4.4,0.3,晴,1
2017/1/13,11.4,-2,3.5,3.3,晴,1
2017/1/14,6.9,-2.3,1,8,曇時々晴一時雪,0
2017/1/15,4,-3.4,-0.5,5.3,曇時々雪後晴,0
2017/1/16,7.2,-5.3,1.3,2,晴,1
2017/1/17,10.7,0.6,4.8,3.7,晴,1
2017/1/18,9.6,-1.1,4,6.3,晴後曇,1
2017/1/19,11.1,-0.3,5,3.3,晴,1
2017/1/20,3.4,-1.1,1.5,10,曇後一時雪,0
2017/1/21,9.5,-0.7,4.1,0.7,晴,1
2017/1/22,11.4,-2,4.2,0.7,快晴,1
2017/1/23,7.6,-0.8,2.8,1,晴,1
2017/1/24,7.5,-2.4,1.2,1.7,晴,1
2017/1/25,9,-3.1,2.6,0,快晴,1
2017/1/26,11.5,-0.7,4.3,0,快晴,1
2017/1/27,13.6,-0.7,5.8,5,曇後晴,1
2017/1/28,13.7,3.7,7.7,3.7,晴,1
2017/1/29,11.7,3.1,6.9,8.7,曇後晴,1
2017/1/30,19,3.1,8.9,0.7,晴,1
2017/1/31,9.4,0.7,4.4,0,快晴,1
2017/2/1,10,-2.2,3.8,7.3,晴,1
2017/2/2,8.5,0,3.9,0.3,快晴,1
2017/2/3,11.6,1.5,6.7,0,快晴,1
2017/2/4,14.3,2.9,7.5,0,快晴,1
2017/2/5,9.2,0.4,4.9,10,曇一時晴,1
2017/2/6,13.4,1.3,7,2.7,晴一時曇,1
2017/2/7,9.2,0.7,4.3,3.3,晴後一時薄曇,1
2017/2/8,10.4,-0.9,4.7,4.3,晴後一時薄曇,1
2017/2/9,3.9,1.2,2.3,10,曇後雨一時みぞれ,0
2017/2/10,8.5,0.6,3.6,6.3,晴時々曇,1
2017/2/11,9.7,-2.3,3.2,2.3,晴,1
2017/2/12,10.2,1,4.6,0.3,快晴,1
2017/2/13,11.8,1.7,5.5,3.3,快晴,1
2017/2/14,11.4,0.8,4.8,4.3,晴,1
2017/2/15,12.5,1.3,5.8,0,快晴,1
2017/2/16,14,-1.8,6.2,3,快晴,1
2017/2/17,21,0.7,10.1,1.7,晴一時曇,1
2017/2/18,11.1,2,7.2,8.7,曇後晴,1
2017/2/19,10.6,0.8,5.2,0.7,晴,1
2017/2/20,15.7,1,7.6,4.3,晴後一時雨,0
2017/2/21,8.2,2.1,4.6,1,晴,1
2017/2/22,10.5,-0.3,5.5,10,薄曇一時晴,1
2017/2/23,17.9,3.9,9.4,7.7,曇後晴,1
2017/2/24,10.1,3.2,6.1,6.3,晴,1
2017/2/25,12.5,-1.5,6.3,5.3,晴,1
2017/2/26,14.5,1.4,8.4,5.3,晴後一時薄曇,1
2017/2/27,11.6,3.2,6.6,5,晴,1
2017/2/28,10.8,2.6,5.7,5.3,晴一時曇,1
2017/3/1,10.5,1.3,5.8,10,曇,1
2017/3/2,10,4.6,7,10,曇時々雨,0
2017/3/3,14,4.2,8.3,1,晴,1
2017/3/4,15.2,-0.3,7.8,3.3,晴,1
2017/3/5,16.3,1.6,9.1,6.7,晴後薄曇,1
2017/3/6,11.1,5.2,8.7,6.7,曇,1
2017/3/7,9.4,1.4,5.6,3.7,曇時々雨一時晴,0
2017/3/8,12,-2,5.2,3,晴,1
2017/3/9,14.3,-0.1,7.2,1.7,晴,1
2017/3/10,13.7,2,7.3,1,晴一時雨,0
2017/3/11,13.5,3,7.2,0.3,快晴,1
2017/3/12,12.6,-0.2,6.5,7.7,薄曇後一時晴,1
2017/3/13,10.4,5.8,7.9,10,曇,1
2017/3/14,12,5.9,8,10,雨時々曇,0
2017/3/15,7,4,5.5,10,曇,1
2017/3/16,14.7,0.7,7.8,0.7,快晴,1
2017/3/17,14.9,2,8.3,2,晴,1
2017/3/18,15.6,2.3,9.5,7.3,晴後薄曇,1
2017/3/19,17.4,3.4,10.8,0,晴,1
2017/3/20,18.9,5.8,12.3,6.3,晴後薄曇,1
2017/3/21,10,6.9,8.5,10,雨,0
2017/3/22,14,4.5,8.5,1,晴,1
2017/3/23,15.2,2,8.3,9,薄曇後一時晴,1
2017/3/24,12.5,3.4,7.3,3.7,晴,1
2017/3/25,13.4,2.6,7.8,8.7,晴後薄曇,1
2017/3/26,7.1,3.7,5.3,10,雨,0
2017/3/27,10.5,3.4,5.9,6.7,雨後曇一時晴,0
2017/3/28,14.5,3.6,8.6,5.7,晴時々曇,1
2017/3/29,15.1,2.4,8.9,4,晴時々薄曇,1
2017/3/30,18.5,4.5,11.4,1,晴,1
2017/3/31,12,5.2,8.7,10,曇後時々雨,0
2017/4/1,8.6,4.3,6.3,10,雨後一時曇,0
2017/4/2,14.2,2.6,8.6,7.3,晴一時曇,1
2017/4/3,16.6,4.5,9.2,2.3,晴後一時雨、雷を伴う,0
2017/4/4,18.2,4.9,11.2,0.7,晴,1
2017/4/5,21.9,5.8,13.6,10,薄曇,1
2017/4/6,23.2,8.2,15.5,7.7,晴後薄曇,1
2017/4/7,24.4,13.7,17.9,7,曇一時雨後晴,0
2017/4/8,15.9,13.3,14.9,10,雨後曇,0
2017/4/9,17.8,9.5,14.3,7.7,曇時々雨,0
2017/4/10,16.6,5.3,10.7,9.3,薄曇,1
2017/4/11,9.6,5.1,7.1,10,大雨,0
2017/4/12,19.7,8.6,14,9.7,薄曇一時晴,1
2017/4/13,18.6,4.7,11.6,1,晴,1
2017/4/14,23.4,5.6,14.2,1.7,晴,1
2017/4/15,24.7,9.4,16.8,5.3,晴後一時曇,1
2017/4/16,28,9.1,19.4,4.3,晴時々薄曇,1
2017/4/17,26.4,14.8,18.3,10,曇後一時雨,0
2017/4/18,28.1,14.3,19.1,5.3,晴時々曇一時雨,0
2017/4/19,24.6,10.7,15.9,3,晴,1
2017/4/20,22.4,10.8,15.9,7.7,晴後薄曇,1
